번호,라이브러리명,버전,라이선스,공식 저장소 URL
157,tiktoken,0.12.0,BSD-3-Clause,https://github.com/openai/tiktoken
158,tokenizers,0.23.1,Apache Software License,https://github.com/huggingface/tokenizers
159,toml,0.10.2,MIT,https://github.com/uiri/toml
160,tqdm,4.67.3,MPL-2.0 AND MIT,https://github.com/tqdm/tqdm
161,typer,0.27.1,MIT,https://github.com/fastapi/typer
162,typer-slim,0.21.2,MIT,https://github.com/fastapi/typer
163,typing-inspection,0.4.2,MIT,https://github.com/pydantic/typing-inspection
164,typing_extensions,4.15.0,PSF-2.0,https://github.com/python/typing_extensions
165,tzdata,2025.3,Apache-2.0,https://github.com/python/tzdata
166,urllib3,2.6.3,MIT,https://github.com/urllib3/urllib3
167,wasabi,1.1.3,MIT,https://github.com/explosion/wasabi
168,weasel,0.4.3,MIT,https://github.com/explosion/weasel
169,Werkzeug,3.1.6,BSD-3-Clause,https://github.com/pallets/werkzeug
170,wrapt,2.1.2,BSD-2-Clause,https://github.com/GrahamDumpleton/wrapt
171,xlsxwriter,3.2.9,BSD-2-Clause,https://github.com/jmcnamara/XlsxWriter
172,yarl,1.24.5,Apache-2.0,https://github.com/aio-libs/yarl
173,zipp,4.1.0,MIT,https://github.com/jaraco/zipp
174,@fortawesome/fontawesome-free,7.1.0,CC-BY-4.0 AND OFL-1.1 AND MIT,https://github.com/FortAwesome/Font-Awesome
175,@popperjs/core,2.11.8,MIT,https://github.com/popperjs/popper-core
176,@radix-ui/react-dropdown-menu,2.1.24,MIT,https://github.com/radix-ui/primitives
177,bootstrap,5.3.8,MIT,https://github.com/twbs/bootstrap
178,bootstrap-icons,1.13.1,MIT,https://github.com/twbs/icons
179,cobe,2.0.1,MIT,https://github.com/shuding/cobe
180,d3,7.9.0,ISC,https://github.com/d3/d3
181,dompurify,3.3.1,MPL-2.0 OR Apache-2.0,https://github.com/cure53/DOMPurify
182,i18next,26.0.3,MIT,https://github.com/i18next/i18next
183,react,19.2.8,MIT,https://github.com/facebook/react
184,react-dom,19.2.8,MIT,https://github.com/facebook/react
185,@eslint/js,9.39.2,MIT,https://github.com/eslint/eslint
186,@tailwindcss/vite,4.3.3,MIT,https://github.com/tailwindlabs/tailwindcss
187,@types/react,19.2.18,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
188,@types/react-dom,19.2.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped
189,@vitejs/plugin-react,5.2.0,MIT,https://github.com/vitejs/vite-plugin-react
190,cross-env,10.1.0,MIT,https://github.com/kentcdodds/cross-env
191,eslint,9.39.2,MIT,https://github.com/eslint/eslint
192,eslint-config-prettier,10.1.8,MIT,https://github.com/prettier/eslint-config-prettier
193,prettier,3.7.4,MIT,https://github.com/prettier/prettier
194,rollup-plugin-visualizer,6.0.5,MIT,https://github.com/btd/rollup-plugin-visualizer
195,sass,1.97.2,MIT,https://github.com/sass/dart-sass
196,tailwindcss,4.3.3,MIT,https://github.com/tailwindlabs/tailwindcss
197,terser,5.44.1,BSD-2-Clause,https://github.com/terser/terser
198,typescript,7.0.2,Apache-2.0,https://github.com/microsoft/TypeScript
199,vite,7.3.1,MIT,https://github.com/vitejs/vite
